NotEnoughItems 1.6.1.5
BuildCraft|Silicon 4.2.2
NEIAddons 1.9.3.r47
Forge 9.11.1.965
IronChest 5.4.1.649
ProjRed|Expansion 4.2.0.14
ForgeMicroblock 1.0.0.219
BuildCraft|Core 4.2.2
CodeChickenCore 0.9.0.7
NEIAddons|AE 1.9.3.r47
wildcaves3 0.4.3.5
ProjRed|Integration 4.2.0.14
BuildCraft|Energy 4.2.2
NEIAddons|ExtraBees 1.9.3.r47
IC2 2.0.397-experimental
ProjRed|Compatability 4.2.0.14
mcp 8.09
ProjRed|Transmission 4.2.0.14
AyriaHUD Version [1.0.1]
ProjRed|Transportation 4.2.0.14
mod_ReiMinimap v3.4_01 [1.6.2]
FML 6.4.49.965
NEIAddons|Forestry 1.9.3.r47
inventorytweaks 1.56
BuildCraft|Transport 4.2.2
McMultipart 1.0.0.219
NEIPlugins 1.1.0.6
enderbag 1.0.0
BuildCraft|Factory 4.2.2
NEIAddons|MiscPeripherals 1.9.3.r47
NEIAddons|CraftingTables 1.9.3.r47
ProjRed|Core 4.2.0.14
GraviSuite 1.9.9a
Highlands 2.1.5
ProjRed|Illumination 4.2.0.14
ForestryExtras 0.6.4
ProjRed|Exploration 4.2.0.14
CompactWindmills 1.0.2.3
IC2NuclearControl 1.6.2e
Forestry 2.3.1.1
Additional-Buildcraft-Objects 1.0.7.557
ForgeMultipart 1.0.0.219
WorldEditCUI 1.6.4.3
BuildCraft|Builders 4.2.2
mod_ChatBubbles 3.1.4.4.0
examplemod 1.0
